,points_range,deslen,price_range,variety,province
128,90-94,327,60-79,Chardonnay,Western Australia
129,85-89,277,20-29,Bordeaux-style Red Blend,South Australia
130,90-94,390,60-79,Red Blend,South Australia
131,85-89,198,20-29,Shiraz-Grenache,Australia Other
132,85-89,252,30-39,Rhône-style Red Blend,South Australia
133,85-89,274,10-19,Sangiovese,South Australia
134,85-89,159,80-99,Shiraz,South Australia
135,80-84,246,10-19,Cabernet Sauvignon,South Australia
136,90-94,269,10-19,Shiraz,South Australia
137,90-94,313,20-29,Riesling,Western Australia
138,90-94,268,40-49,G-S-M,South Australia
139,85-89,205,10-19,Chardonnay,Australia Other
140,90-94,254,20-29,Cabernet Sauvignon,South Australia
141,90-94,284,10-19,Chardonnay-Semillon,South Australia
142,90-94,340,60-79,Bordeaux-style Red Blend,South Australia
143,85-89,256,20-29,Cabernet Sauvignon,South Australia
144,85-89,178,10-19,Chardonnay,Australia Other
145,90-94,303,10-19,Shiraz,South Australia
146,90-94,286,30-39,Shiraz,Victoria
147,85-89,188,10-19,Chardonnay,New South Wales
148,80-84,166,10-19,Chardonnay,Australia Other
149,85-89,246,10-19,Tokay,Victoria
150,80-84,209,10-19,Sparkling Blend,Australia Other
151,80-84,175,10-19,Champagne Blend,Australia Other
152,85-89,285,20-29,Tempranillo,South Australia
153,85-89,293,40-49,Viognier,South Australia
154,90-94,260,30-39,Riesling,South Australia
155,95-99,401,60-79,Shiraz,South Australia
156,85-89,334,20-29,Riesling,South Australia
157,90-94,359,60-79,Rhône-style Red Blend,South Australia
158,85-89,244,10-19,Riesling,South Australia
159,85-89,285,20-29,Red Blend,Australia Other
160,85-89,195,10-19,Red Blend,South Australia
161,90-94,368,50-59,Grenache,South Australia
162,90-94,430,100+,Chardonnay,Western Australia
163,80-84,111,10-19,Shiraz,South Australia
164,90-94,269,100+,Muscadelle,Victoria
165,90-94,326,60-79,Shiraz,South Australia
166,85-89,217,10-19,Sauvignon Blanc,South Australia
167,85-89,258,10-19,Semillon-Sauvignon Blanc,Western Australia
168,85-89,163,10-19,Sparkling Blend,Australia Other
169,85-89,205,10-19,Shiraz,South Australia
170,90-94,298,100+,Shiraz,South Australia
171,90-94,202,80-99,Shiraz,South Australia
172,95-99,269,60-79,Shiraz,South Australia
173,90-94,424,50-59,Pinot Noir,Victoria
174,85-89,301,10-19,Shiraz,Australia Other
175,85-89,276,10-19,Pinot Noir,Australia Other
176,90-94,199,20-29,Red Blend,South Australia
177,85-89,158,10-19,Cabernet Sauvignon,South Australia
178,85-89,209,100+,Shiraz-Viognier,South Australia
179,90-94,326,40-49,Pinot Noir,Victoria
180,80-84,265,40-49,Cabernet Sauvignon,Western Australia
