,points_range,deslen,price_range,variety,province
523,80-84,287,10-19,Merlot,Mendoza Province
524,90-94,256,40-49,Red Blend,Mendoza Province
525,90-94,310,40-49,Malbec,Mendoza Province
526,90-94,339,50-59,Cabernet Sauvignon,Mendoza Province
527,85-89,241,20-29,Chardonnay,Mendoza Province
528,85-89,248,10-19,Malbec,Other
529,85-89,221,10-19,Malbec,Mendoza Province
530,85-89,224,10-19,Sparkling Blend,Mendoza Province
531,85-89,285,10-19,Malbec-Syrah,Mendoza Province
532,85-89,300,20-29,Cabernet Sauvignon,Mendoza Province
533,85-89,245,20-29,Malbec,Mendoza Province
534,85-89,273,10-19,Malbec,Mendoza Province
535,85-89,274,10-19,Malbec,Mendoza Province
536,85-89,252,20-29,Malbec,Mendoza Province
537,85-89,193,10-19,Torrontés,Other
538,85-89,222,20-29,Malbec,Other
539,85-89,171,10-19,Rosé,Mendoza Province
540,85-89,224,10-19,Red Blend,Mendoza Province
541,85-89,217,10-19,Chardonnay,Mendoza Province
542,85-89,216,10-19,Sauvignon Blanc,Mendoza Province
543,85-89,206,10-19,Sauvignon Blanc,Mendoza Province
544,80-84,160,10-19,Malbec,Mendoza Province
545,80-84,309,30-39,Malbec,Other
546,80-84,240,10-19,Sauvignon Blanc,Mendoza Province
547,80-84,327,30-39,Bonarda,Mendoza Province
548,85-89,230,<10,Chardonnay,Mendoza Province
549,85-89,257,20-29,Cabernet Sauvignon,Mendoza Province
550,85-89,306,10-19,Bordeaux-style Red Blend,Mendoza Province
551,85-89,323,10-19,Red Blend,Mendoza Province
552,85-89,225,10-19,Torrontés,Mendoza Province
553,90-94,356,20-29,Malbec,Mendoza Province
554,85-89,333,10-19,Chardonnay,Mendoza Province
555,85-89,323,10-19,Tempranillo,Mendoza Province
556,85-89,213,10-19,Merlot,Mendoza Province
557,85-89,261,10-19,Chardonnay,Mendoza Province
558,85-89,242,20-29,Cabernet Sauvignon,Mendoza Province
559,85-89,191,10-19,Malbec,Mendoza Province
560,85-89,272,10-19,Cabernet Sauvignon,Mendoza Province
561,90-94,313,60-79,Red Blend,Other
562,90-94,324,50-59,Bordeaux-style Red Blend,Mendoza Province
563,85-89,217,20-29,Malbec,Mendoza Province
564,85-89,201,10-19,Malbec,Mendoza Province
565,85-89,225,10-19,Cabernet Sauvignon,Mendoza Province
566,85-89,214,20-29,Chardonnay,Mendoza Province
567,85-89,197,10-19,Torrontés,Other
568,85-89,236,<10,Rosé,Mendoza Province
569,85-89,218,10-19,Malbec,Mendoza Province
570,85-89,256,10-19,Red Blend,Mendoza Province
571,85-89,224,10-19,Sparkling Blend,Mendoza Province
572,90-94,325,100+,Malbec,Mendoza Province
573,85-89,210,10-19,Malbec,Mendoza Province
574,85-89,229,10-19,Malbec,Other
575,85-89,258,10-19,Torrontés,Other
576,85-89,258,10-19,Torrontés,Other
577,85-89,196,10-19,Cabernet Sauvignon,Other
578,85-89,204,10-19,Torrontés,Mendoza Province
579,85-89,263,10-19,White Blend,Other
580,90-94,249,10-19,Malbec,Mendoza Province
581,80-84,159,10-19,Malbec,Other
582,80-84,220,10-19,Torrontés,Mendoza Province
583,80-84,213,10-19,Torrontés,Mendoza Province
584,85-89,262,20-29,Cabernet Sauvignon,Mendoza Province
585,90-94,341,40-49,Malbec,Mendoza Province
586,90-94,317,40-49,Malbec,Other
587,85-89,244,20-29,Malbec,Mendoza Province
588,85-89,215,10-19,Malbec,Mendoza Province
589,85-89,224,10-19,Torrontés,Other
590,85-89,257,10-19,Red Blend,Mendoza Province
591,90-94,368,50-59,Bordeaux-style Red Blend,Mendoza Province
592,90-94,354,10-19,Malbec,Mendoza Province
593,85-89,234,30-39,Pinot Noir,Mendoza Province
594,90-94,311,100+,Malbec-Cabernet,Mendoza Province
595,90-94,238,50-59,Malbec,Mendoza Province
596,90-94,265,30-39,Petit Verdot,Mendoza Province
597,90-94,254,20-29,Malbec,Mendoza Province
598,90-94,367,60-79,Malbec,Mendoza Province
599,80-84,250,10-19,Sparkling Blend,Other
600,80-84,345,<10,Sparkling Blend,Other
601,85-89,226,10-19,Malbec,Mendoza Province
602,85-89,277,20-29,Malbec,Mendoza Province
603,90-94,355,50-59,Malbec,Mendoza Province
604,90-94,245,30-39,Malbec-Cabernet Sauvignon,Mendoza Province
605,85-89,273,20-29,Malbec,Mendoza Province
606,85-89,250,<10,Pinot Grigio,Other
607,85-89,258,20-29,Malbec,Mendoza Province
608,85-89,393,20-29,Malbec,Mendoza Province
609,85-89,233,10-19,Cabernet Sauvignon,Mendoza Province
610,85-89,252,10-19,Torrontés,Mendoza Province
611,85-89,239,10-19,Malbec,Mendoza Province
612,85-89,232,10-19,Pinot Noir,Other
613,85-89,251,10-19,Malbec,Mendoza Province
614,85-89,258,20-29,Malbec,Mendoza Province
615,85-89,290,10-19,Cabernet Sauvignon,Mendoza Province
616,85-89,299,10-19,Sémillon,Mendoza Province
617,85-89,237,10-19,Chardonnay,Mendoza Province
618,85-89,294,30-39,Malbec,Other
619,85-89,266,10-19,Bonarda,Mendoza Province
620,85-89,224,10-19,Malbec,Mendoza Province
621,85-89,204,10-19,Sauvignon Blanc,Other
622,85-89,187,20-29,Chardonnay,Mendoza Province
623,90-94,348,20-29,Malbec,Mendoza Province
624,90-94,337,20-29,Malbec,Mendoza Province
625,85-89,313,10-19,Pinot Noir,Mendoza Province
626,85-89,258,20-29,Malbec,Mendoza Province
627,85-89,269,50-59,Cabernet Franc,Mendoza Province
628,85-89,323,20-29,Pinot Noir,Other
629,85-89,257,40-49,Chardonnay,Mendoza Province
630,85-89,305,20-29,Malbec,Mendoza Province
631,85-89,234,20-29,Malbec,Mendoza Province
632,80-84,222,10-19,Cabernet Sauvignon,Other
633,80-84,211,10-19,White Blend,Other
634,80-84,218,<10,Torrontés,Mendoza Province
635,80-84,203,20-29,Merlot,Other
636,80-84,264,10-19,Cabernet Sauvignon,Mendoza Province
637,80-84,229,10-19,Cabernet Sauvignon,Mendoza Province
638,90-94,379,40-49,Bordeaux-style Red Blend,Mendoza Province
639,90-94,326,20-29,Malbec,Mendoza Province
640,80-84,254,10-19,Viognier,Mendoza Province
641,90-94,251,30-39,Bordeaux-style Red Blend,Mendoza Province
642,85-89,220,10-19,Pinot Noir,Mendoza Province
643,85-89,219,10-19,Bonarda,Other
644,85-89,224,30-39,Cabernet Franc,Mendoza Province
645,85-89,256,10-19,Torrontés,Mendoza Province
646,85-89,250,10-19,Malbec,Mendoza Province
647,85-89,221,10-19,Cabernet Sauvignon,Mendoza Province
648,85-89,238,10-19,Red Blend,Mendoza Province
649,85-89,222,10-19,Torrontés,Other
650,85-89,263,30-39,Red Blend,Mendoza Province
651,90-94,279,50-59,Malbec,Mendoza Province
652,85-89,215,10-19,Pinot Grigio,Mendoza Province
653,85-89,234,10-19,Chenin Blanc-Chardonnay,Mendoza Province
654,85-89,166,10-19,Pinot Noir,Mendoza Province
655,85-89,155,30-39,Bordeaux-style Red Blend,Mendoza Province
656,85-89,201,10-19,Malbec,Mendoza Province
657,80-84,240,10-19,Malbec,Mendoza Province
658,80-84,190,10-19,Cabernet Sauvignon,Mendoza Province
659,80-84,236,<10,Malbec-Syrah,Mendoza Province
660,80-84,277,10-19,Chardonnay-Viognier,Mendoza Province
661,85-89,221,10-19,Malbec,Mendoza Province
662,85-89,203,10-19,Cabernet Sauvignon,Mendoza Province
663,85-89,206,20-29,Malbec,Mendoza Province
664,85-89,268,10-19,Torrontés,Other
665,85-89,226,10-19,Cabernet Sauvignon,Mendoza Province
666,85-89,217,60-79,Red Blend,Mendoza Province
667,80-84,265,20-29,White Blend,Mendoza Province
668,80-84,246,10-19,Sauvignon Blanc,Mendoza Province
669,80-84,196,20-29,Malbec,Mendoza Province
670,90-94,316,20-29,Malbec,Mendoza Province
671,90-94,280,100+,Cabernet Franc,Mendoza Province
672,85-89,195,10-19,Pinot Grigio,Mendoza Province
673,85-89,200,20-29,Cabernet Franc,Other
674,90-94,341,30-39,Malbec,Mendoza Province
675,90-94,288,20-29,Cabernet Sauvignon,Mendoza Province
676,90-94,314,30-39,Malbec,Mendoza Province
677,90-94,261,100+,Malbec,Mendoza Province
678,90-94,341,80-99,Cabernet Sauvignon,Mendoza Province
679,90-94,291,60-79,Malbec,Mendoza Province
680,90-94,315,60-79,Malbec,Mendoza Province
681,90-94,323,20-29,Red Blend,Mendoza Province
682,90-94,288,30-39,Red Blend,Mendoza Province
683,85-89,296,60-79,Nebbiolo,Mendoza Province
684,85-89,239,40-49,Cabernet Sauvignon-Malbec,Mendoza Province
685,85-89,235,10-19,Chardonnay,Mendoza Province
686,90-94,267,10-19,Malbec,Mendoza Province
687,85-89,292,20-29,Malbec,Mendoza Province
688,85-89,287,10-19,Malbec,Mendoza Province
689,80-84,228,10-19,Cabernet Sauvignon,Other
690,80-84,200,10-19,Tempranillo,Mendoza Province
691,85-89,268,10-19,Cabernet Sauvignon,Mendoza Province
692,85-89,187,10-19,Syrah,Mendoza Province
693,85-89,182,10-19,Malbec,Other
694,85-89,204,10-19,Malbec-Syrah,Mendoza Province
695,85-89,174,10-19,Chardonnay,Mendoza Province
696,85-89,185,40-49,Sauvignon Blanc,Mendoza Province
697,85-89,228,40-49,Cabernet Franc,Mendoza Province
698,85-89,169,10-19,Cabernet Sauvignon,Mendoza Province
699,85-89,179,10-19,Cabernet Sauvignon,Mendoza Province
700,85-89,217,10-19,Torrontés,Other
701,85-89,206,20-29,Sparkling Blend,Mendoza Province
702,85-89,184,10-19,Torrontés,Other
703,80-84,128,20-29,Cabernet Sauvignon,Mendoza Province
704,80-84,158,10-19,Rosé,Mendoza Province
705,80-84,210,20-29,Chardonnay,Mendoza Province
706,80-84,161,10-19,Chardonnay,Mendoza Province
707,80-84,237,10-19,Merlot,Mendoza Province
708,80-84,204,10-19,Chardonnay,Other
709,90-94,309,30-39,Red Blend,Mendoza Province
710,90-94,260,30-39,Cabernet Sauvignon,Mendoza Province
711,90-94,357,60-79,Malbec,Mendoza Province
712,85-89,249,10-19,Malbec-Syrah,Mendoza Province
713,85-89,328,40-49,Malbec,Mendoza Province
714,85-89,250,10-19,Cabernet Sauvignon,Mendoza Province
715,90-94,323,10-19,Malbec,Mendoza Province
716,90-94,214,20-29,Malbec,Mendoza Province
717,90-94,383,30-39,Malbec,Mendoza Province
718,90-94,290,20-29,Pinot Noir,Other
719,90-94,380,100+,Malbec,Mendoza Province
720,90-94,261,40-49,Red Blend,Mendoza Province
721,90-94,338,40-49,Red Blend,Other
722,80-84,274,10-19,Bordeaux-style Red Blend,Mendoza Province
723,90-94,327,20-29,Malbec,Mendoza Province
724,90-94,338,60-79,Malbec,Mendoza Province
725,90-94,310,20-29,Malbec,Mendoza Province
726,85-89,257,20-29,Malbec,Mendoza Province
727,85-89,221,10-19,Malbec,Mendoza Province
728,85-89,241,30-39,Red Blend,Mendoza Province
729,85-89,232,10-19,Malbec,Mendoza Province
730,85-89,242,10-19,Merlot,Mendoza Province
731,80-84,215,10-19,Malbec,Mendoza Province
732,90-94,363,40-49,Red Blend,Other
733,90-94,309,50-59,Malbec,Mendoza Province
734,85-89,281,10-19,Cabernet Sauvignon,Mendoza Province
735,85-89,201,10-19,Malbec,Mendoza Province
736,90-94,260,40-49,Malbec,Mendoza Province
737,85-89,268,20-29,Cabernet Sauvignon,Mendoza Province
738,85-89,309,80-99,Chardonnay,Mendoza Province
739,85-89,210,10-19,Bonarda,Mendoza Province
740,85-89,251,10-19,Merlot,Mendoza Province
741,85-89,244,10-19,Cabernet Sauvignon,Mendoza Province
742,85-89,257,10-19,Malbec,Mendoza Province
743,85-89,270,10-19,Chardonnay,Mendoza Province
744,85-89,231,10-19,Malbec,Mendoza Province
745,80-84,219,20-29,Malbec,Mendoza Province
746,80-84,213,10-19,Chardonnay,Mendoza Province
747,80-84,210,10-19,Torrontés,Mendoza Province
748,85-89,280,20-29,Cabernet Sauvignon,Mendoza Province
749,85-89,332,20-29,Red Blend,Mendoza Province
750,85-89,278,10-19,Malbec,Mendoza Province
751,85-89,213,10-19,Malbec,Mendoza Province
752,85-89,280,10-19,Pinot Grigio,Mendoza Province
753,85-89,276,10-19,Malbec,Mendoza Province
754,85-89,267,10-19,Malbec,Mendoza Province
755,80-84,211,10-19,Chardonnay,Mendoza Province
756,80-84,236,10-19,Cabernet Sauvignon,Mendoza Province
757,80-84,237,20-29,Cabernet Sauvignon,Other
758,80-84,235,10-19,Malbec,Other
759,80-84,261,10-19,Malbec,Other
760,85-89,211,10-19,Malbec,Mendoza Province
761,85-89,256,10-19,Malbec,Mendoza Province
762,85-89,227,10-19,Malbec,Mendoza Province
763,85-89,267,10-19,Malbec,Mendoza Province
764,85-89,199,10-19,Malbec,Mendoza Province
765,85-89,207,10-19,Torrontés,Mendoza Province
766,85-89,200,10-19,Cabernet Sauvignon,Mendoza Province
767,80-84,245,20-29,Syrah,Mendoza Province
768,80-84,136,10-19,Syrah,Mendoza Province
769,80-84,149,10-19,Bordeaux-style Red Blend,Mendoza Province
770,80-84,134,10-19,Pinot Grigio,Other
771,90-94,347,30-39,Cabernet Blend,Mendoza Province
772,85-89,295,10-19,Cabernet Sauvignon,Mendoza Province
773,85-89,232,10-19,Torrontés,Mendoza Province
774,85-89,201,10-19,Malbec,Mendoza Province
775,85-89,308,10-19,Malbec,Mendoza Province
776,85-89,230,10-19,Malbec,Mendoza Province
777,80-84,224,10-19,Syrah,Mendoza Province
778,80-84,219,<10,Pinot Grigio,Other
779,80-84,237,20-29,Cabernet Sauvignon,Other
780,80-84,274,10-19,Malbec,Mendoza Province
781,85-89,337,10-19,Sauvignon Blanc,Mendoza Province
782,90-94,283,20-29,Malbec,Mendoza Province
783,90-94,310,40-49,Malbec,Mendoza Province
784,85-89,241,30-39,Red Blend,Mendoza Province
785,85-89,232,10-19,Malbec,Mendoza Province
786,85-89,293,20-29,Malbec,Mendoza Province
787,90-94,310,60-79,Red Blend,Mendoza Province
788,90-94,261,40-49,Malbec,Mendoza Province
789,90-94,287,20-29,Malbec,Mendoza Province
790,85-89,226,10-19,Riesling,Mendoza Province
791,85-89,238,10-19,Malbec,Mendoza Province
792,80-84,257,10-19,Syrah,Mendoza Province
793,85-89,263,30-39,Malbec,Other
794,85-89,200,10-19,Malbec,Mendoza Province
795,85-89,228,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
796,85-89,217,20-29,Cabernet Sauvignon,Mendoza Province
797,90-94,250,40-49,Malbec,Mendoza Province
798,90-94,261,40-49,Red Blend,Mendoza Province
799,85-89,276,10-19,Malbec,Mendoza Province
800,85-89,257,<10,Pinot Noir,Other
801,90-94,278,30-39,Malbec,Mendoza Province
802,85-89,322,10-19,Red Blend,Mendoza Province
803,80-84,262,40-49,Cabernet Franc,Mendoza Province
804,80-84,148,10-19,Torrontés,Mendoza Province
805,80-84,160,10-19,Malbec,Mendoza Province
806,80-84,259,10-19,Cabernet Franc,Other
807,80-84,180,<10,Malbec,Mendoza Province
808,80-84,213,10-19,Chardonnay,Mendoza Province
809,80-84,188,<10,Pinot Grigio,Other
810,85-89,180,10-19,Bonarda,Mendoza Province
811,90-94,316,80-99,Red Blend,Mendoza Province
812,90-94,254,40-49,Chardonnay,Mendoza Province
813,90-94,338,60-79,Malbec,Mendoza Province
814,85-89,242,20-29,Bonarda,Mendoza Province
815,85-89,252,10-19,Malbec,Mendoza Province
816,90-94,277,10-19,Malbec,Mendoza Province
817,90-94,328,30-39,Red Blend,Mendoza Province
818,85-89,232,10-19,Malbec,Other
819,90-94,264,30-39,Petit Verdot,Mendoza Province
820,90-94,348,100+,Malbec,Mendoza Province
821,90-94,221,20-29,Malbec,Mendoza Province
822,85-89,277,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
823,90-94,307,30-39,Cabernet Franc-Malbec,Mendoza Province
824,85-89,249,10-19,Bonarda,Mendoza Province
825,85-89,232,10-19,Malbec,Mendoza Province
826,85-89,254,20-29,Malbec,Mendoza Province
827,85-89,221,10-19,Malbec,Mendoza Province
828,85-89,243,20-29,Malbec,Mendoza Province
829,80-84,171,10-19,Malbec,Other
830,80-84,202,10-19,Cabernet Sauvignon,Other
831,80-84,170,20-29,Cabernet Sauvignon,Mendoza Province
832,80-84,261,10-19,Cabernet Sauvignon,Other
833,85-89,216,10-19,Red Blend,Mendoza Province
834,80-84,231,10-19,Red Blend,Mendoza Province
835,90-94,348,60-79,Cabernet Sauvignon-Malbec,Other
836,90-94,285,20-29,Red Blend,Mendoza Province
837,90-94,278,100+,Malbec,Mendoza Province
838,90-94,275,100+,Malbec,Mendoza Province
839,90-94,273,40-49,Malbec,Mendoza Province
840,90-94,285,30-39,Malbec,Mendoza Province
841,90-94,254,80-99,Malbec,Mendoza Province
842,80-84,202,10-19,Malbec,Mendoza Province
843,80-84,238,10-19,Cabernet Sauvignon,Mendoza Province
844,80-84,221,10-19,Malbec,Mendoza Province
845,80-84,214,10-19,Torrontés,Mendoza Province
846,85-89,202,10-19,Cabernet Sauvignon,Mendoza Province
847,85-89,245,20-29,Malbec,Mendoza Province
848,85-89,300,20-29,Cabernet Sauvignon,Mendoza Province
849,85-89,226,20-29,Malbec,Mendoza Province
850,85-89,167,30-39,Sparkling Blend,Other
851,85-89,241,20-29,White Blend,Mendoza Province
852,90-94,307,40-49,Malbec,Mendoza Province
853,85-89,202,10-19,Malbec,Mendoza Province
854,85-89,191,10-19,Cabernet Sauvignon,Mendoza Province
855,90-94,270,10-19,Cabernet Sauvignon,Mendoza Province
856,85-89,289,10-19,Cabernet Sauvignon,Mendoza Province
857,85-89,237,10-19,Malbec,Mendoza Province
858,85-89,216,10-19,Malbec,Mendoza Province
859,85-89,237,10-19,Chardonnay,Mendoza Province
860,85-89,222,10-19,Malbec,Mendoza Province
861,85-89,256,10-19,Red Blend,Mendoza Province
862,85-89,265,10-19,Cabernet Sauvignon,Mendoza Province
863,80-84,193,10-19,Torrontés,Mendoza Province
864,80-84,227,10-19,Malbec,Other
865,80-84,213,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
866,90-94,277,10-19,Cabernet Franc,Other
867,90-94,259,60-79,Cabernet Franc,Mendoza Province
868,85-89,181,10-19,Malbec,Mendoza Province
869,90-94,271,10-19,Malbec,Mendoza Province
870,85-89,202,10-19,Malbec,Mendoza Province
871,85-89,192,10-19,Malbec,Mendoza Province
872,85-89,208,10-19,Cabernet Sauvignon,Mendoza Province
873,85-89,203,10-19,Malbec,Mendoza Province
874,85-89,286,30-39,Malbec,Mendoza Province
875,90-94,312,80-99,Malbec,Mendoza Province
876,90-94,265,20-29,Cabernet Franc,Mendoza Province
877,90-94,305,10-19,Malbec,Other
878,90-94,286,10-19,Red Blend,Mendoza Province
879,90-94,317,20-29,Malbec,Other
880,85-89,234,30-39,Cabernet Franc,Mendoza Province
881,80-84,171,10-19,Malbec,Mendoza Province
882,80-84,181,10-19,Cabernet Sauvignon,Mendoza Province
883,80-84,168,10-19,Malbec,Mendoza Province
884,80-84,198,10-19,Rosé,Mendoza Province
885,95-99,380,60-79,Bordeaux-style Red Blend,Mendoza Province
886,85-89,249,30-39,Pinot Noir,Other
887,80-84,200,10-19,Cabernet Sauvignon,Mendoza Province
888,90-94,307,80-99,Malbec,Mendoza Province
889,90-94,338,30-39,Malbec,Mendoza Province
890,90-94,376,100+,Cabernet Sauvignon,Mendoza Province
891,90-94,361,60-79,Malbec,Mendoza Province
892,85-89,228,10-19,White Blend,Other
893,85-89,240,10-19,Rosé,Mendoza Province
894,85-89,253,10-19,Torrontés,Other
895,85-89,278,20-29,Chardonnay,Mendoza Province
896,85-89,229,20-29,Cabernet Sauvignon,Mendoza Province
897,80-84,322,20-29,Malbec,Other
898,85-89,280,<10,Torrontés,Other
899,85-89,254,10-19,Cabernet Sauvignon,Mendoza Province
900,85-89,289,10-19,Chardonnay,Mendoza Province
901,85-89,261,10-19,Malbec,Mendoza Province
902,90-94,267,10-19,Malbec,Mendoza Province
903,90-94,258,30-39,Malbec,Mendoza Province
904,90-94,343,40-49,Malbec-Cabernet Franc,Mendoza Province
905,85-89,292,10-19,Malbec,Other
906,85-89,301,10-19,Bonarda,Mendoza Province
907,85-89,285,10-19,Syrah,Mendoza Province
908,85-89,351,30-39,Bordeaux-style Red Blend,Other
909,85-89,276,10-19,Cabernet Sauvignon,Mendoza Province
910,85-89,323,20-29,Sparkling Blend,Mendoza Province
911,80-84,196,10-19,Torrontés,Mendoza Province
912,85-89,229,10-19,Malbec,Mendoza Province
913,85-89,323,50-59,Syrah-Viognier,Mendoza Province
914,85-89,189,10-19,Sparkling Blend,Mendoza Province
915,85-89,259,10-19,Malbec,Mendoza Province
916,80-84,240,10-19,Sparkling Blend,Mendoza Province
917,85-89,236,10-19,Merlot,Mendoza Province
918,85-89,237,10-19,Torrontés,Other
919,85-89,242,10-19,Cabernet Sauvignon,Other
920,85-89,226,10-19,Cabernet Sauvignon,Mendoza Province
921,85-89,220,20-29,Cabernet Sauvignon,Mendoza Province
922,85-89,221,10-19,Pinot Noir,Mendoza Province
923,85-89,280,10-19,Malbec,Mendoza Province
924,90-94,275,20-29,Malbec,Mendoza Province
925,80-84,271,10-19,Cabernet Sauvignon,Mendoza Province
926,90-94,320,30-39,Red Blend,Mendoza Province
927,90-94,249,20-29,Malbec,Mendoza Province
928,85-89,217,60-79,Red Blend,Mendoza Province
929,85-89,215,10-19,Cabernet Sauvignon,Mendoza Province
930,85-89,236,20-29,Malbec,Mendoza Province
931,85-89,221,50-59,Red Blend,Mendoza Province
932,85-89,204,10-19,Cabernet Sauvignon,Mendoza Province
933,85-89,239,20-29,Pinot Noir,Other
934,90-94,331,60-79,Malbec,Other
935,85-89,224,20-29,Red Blend,Mendoza Province
936,85-89,223,10-19,Red Blend,Mendoza Province
937,85-89,217,20-29,Cabernet Sauvignon,Mendoza Province
938,85-89,263,20-29,Bonarda,Mendoza Province
939,90-94,231,20-29,Malbec,Mendoza Province
940,85-89,312,10-19,Malbec,Mendoza Province
941,90-94,214,20-29,Malbec,Mendoza Province
942,90-94,304,50-59,Cabernet Sauvignon,Mendoza Province
943,85-89,305,40-49,Red Blend,Mendoza Province
944,85-89,147,10-19,Chardonnay,Mendoza Province
945,85-89,239,10-19,Malbec,Mendoza Province
946,85-89,259,40-49,Bonarda,Mendoza Province
947,90-94,314,50-59,Malbec,Mendoza Province
948,80-84,247,10-19,Torrontés,Mendoza Province
949,80-84,245,30-39,Malbec,Mendoza Province
950,80-84,197,10-19,Chardonnay,Mendoza Province
951,80-84,233,10-19,Torrontés,Other
952,80-84,185,10-19,Cabernet Sauvignon,Mendoza Province
953,80-84,209,<10,Cabernet Sauvignon,Other
954,85-89,241,20-29,Red Blend,Mendoza Province
955,85-89,272,20-29,Malbec-Cabernet Franc,Mendoza Province
956,85-89,254,20-29,Cabernet Sauvignon,Other
957,85-89,237,10-19,Chardonnay,Mendoza Province
958,85-89,190,10-19,Torrontés,Mendoza Province
959,80-84,172,10-19,Torrontés,Other
960,80-84,195,10-19,Pinot Grigio,Mendoza Province
961,80-84,252,10-19,Rosé,Mendoza Province
962,85-89,237,10-19,Malbec,Mendoza Province
963,80-84,195,10-19,Viognier,Mendoza Province
964,80-84,141,<10,Malbec,Mendoza Province
965,85-89,239,10-19,Malbec,Mendoza Province
966,90-94,285,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
967,85-89,236,10-19,Malbec,Mendoza Province
968,80-84,237,20-29,Pinot Noir,Other
969,80-84,204,10-19,Malbec,Mendoza Province
970,85-89,229,10-19,Bonarda,Mendoza Province
971,85-89,212,10-19,Bonarda,Mendoza Province
972,80-84,225,10-19,Cabernet Sauvignon,Mendoza Province
973,80-84,227,30-39,Cabernet Sauvignon,Mendoza Province
974,80-84,306,20-29,White Blend,Mendoza Province
975,80-84,199,10-19,Malbec,Mendoza Province
976,80-84,198,10-19,Malbec,Mendoza Province
977,80-84,214,10-19,Malbec,Mendoza Province
978,80-84,253,30-39,Tannat,Other
979,80-84,229,10-19,Tempranillo,Mendoza Province
980,80-84,210,20-29,Red Blend,Mendoza Province
981,80-84,191,10-19,Torrontés,Mendoza Province
982,80-84,215,30-39,White Blend,Mendoza Province
983,90-94,352,20-29,Red Blend,Mendoza Province
984,85-89,329,20-29,Malbec,Other
985,85-89,284,20-29,Red Blend,Mendoza Province
986,85-89,292,20-29,Bordeaux-style Red Blend,Other
987,85-89,347,40-49,Malbec,Other
988,85-89,240,10-19,Cabernet Sauvignon,Mendoza Province
989,85-89,214,10-19,Malbec,Mendoza Province
990,85-89,223,10-19,Malbec,Mendoza Province
991,85-89,234,10-19,Torrontés,Other
992,85-89,202,10-19,Malbec,Other
993,85-89,254,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
994,85-89,285,20-29,Syrah,Mendoza Province
995,85-89,177,<10,Malbec,Other
996,85-89,214,10-19,Malbec,Mendoza Province
997,90-94,383,30-39,Malbec,Mendoza Province
998,85-89,269,30-39,Pinot Noir,Mendoza Province
999,85-89,225,10-19,Malbec,Mendoza Province
1000,85-89,305,10-19,Bonarda,Mendoza Province
1001,85-89,167,10-19,Chardonnay,Mendoza Province
1002,80-84,228,10-19,Cabernet Sauvignon,Other
1003,90-94,276,60-79,Malbec,Mendoza Province
1004,90-94,286,60-79,Malbec,Mendoza Province
1005,90-94,395,60-79,Malbec,Mendoza Province
1006,85-89,224,10-19,Cabernet Franc,Other
1007,85-89,197,10-19,Cabernet Sauvignon,Other
1008,85-89,179,10-19,Malbec,Mendoza Province
1009,80-84,259,10-19,Malbec,Mendoza Province
1010,90-94,328,20-29,Syrah,Mendoza Province
1011,90-94,334,100+,Malbec-Cabernet Sauvignon,Mendoza Province
1012,80-84,257,10-19,Syrah,Mendoza Province
1013,85-89,230,10-19,Chardonnay,Mendoza Province
1014,85-89,285,20-29,Malbec-Bonarda,Mendoza Province
1015,85-89,207,10-19,Chardonnay,Mendoza Province
1016,85-89,216,40-49,Petit Verdot,Mendoza Province
1017,90-94,317,10-19,Red Blend,Mendoza Province
1018,90-94,252,30-39,Chardonnay,Mendoza Province
1019,90-94,266,30-39,Malbec-Bonarda,Other
1020,85-89,211,10-19,Malbec,Mendoza Province
1021,85-89,227,10-19,Malbec,Mendoza Province
1022,85-89,261,20-29,Malbec,Other
1023,85-89,266,30-39,Malbec,Mendoza Province
1024,85-89,214,20-29,Malbec,Mendoza Province
1025,85-89,310,10-19,Cabernet Sauvignon,Other
1026,85-89,292,10-19,Malbec,Other
1027,85-89,300,10-19,Cabernet Sauvignon,Mendoza Province
1028,90-94,282,50-59,Malbec,Mendoza Province
1029,85-89,182,10-19,Malbec,Mendoza Province
1030,85-89,174,10-19,Torrontés,Other
1031,85-89,255,10-19,Red Blend,Mendoza Province
1032,90-94,317,50-59,Red Blend,Mendoza Province
1033,85-89,227,10-19,Malbec,Mendoza Province
1034,80-84,274,10-19,Malbec,Mendoza Province
1035,85-89,189,10-19,Chardonnay,Mendoza Province
1036,85-89,196,10-19,Malbec,Mendoza Province
1037,85-89,241,20-29,Malbec,Mendoza Province
1038,90-94,273,60-79,Malbec,Mendoza Province
1039,90-94,289,20-29,Red Blend,Mendoza Province
1040,90-94,297,20-29,Bordeaux-style Red Blend,Mendoza Province
1041,90-94,216,20-29,Cabernet Sauvignon,Mendoza Province
1042,90-94,319,50-59,Red Blend,Mendoza Province
1043,85-89,293,20-29,Malbec,Mendoza Province
1044,85-89,223,20-29,Malbec,Mendoza Province
1045,85-89,280,10-19,Cabernet-Syrah,Mendoza Province
1046,90-94,252,80-99,Malbec,Mendoza Province
1047,90-94,279,80-99,Malbec,Mendoza Province
1048,90-94,306,60-79,Malbec,Mendoza Province
1049,80-84,194,10-19,Cabernet Sauvignon,Mendoza Province
