,points_range,deslen,price_range,variety,province
120,85-89,307,10-19,Pinot Noir,Other
121,90-94,345,60-79,Cabernet Franc,Mendoza Province
122,90-94,337,100+,Malbec-Cabernet Sauvignon,Other
123,85-89,280,20-29,Malbec,Other
124,90-94,319,40-49,Malbec,Mendoza Province
125,85-89,236,10-19,Malbec,Mendoza Province
126,85-89,298,10-19,White Blend,Mendoza Province
127,90-94,287,30-39,Malbec,Mendoza Province
128,85-89,294,20-29,Malbec,Mendoza Province
129,85-89,274,50-59,Malbec,Mendoza Province
130,85-89,224,10-19,Malbec,Mendoza Province
131,85-89,220,30-39,Pinot Noir,Other
132,85-89,195,10-19,Malbec,Other
133,85-89,199,30-39,Malbec,Mendoza Province
134,85-89,271,60-79,Nebbiolo,Mendoza Province
135,85-89,240,30-39,Malbec,Mendoza Province
136,85-89,275,10-19,Malbec,Mendoza Province
137,85-89,253,20-29,Malbec,Other
138,90-94,360,60-79,Malbec,Mendoza Province
139,90-94,239,20-29,Malbec,Mendoza Province
140,90-94,285,20-29,Malbec,Mendoza Province
141,90-94,291,20-29,Red Blend,Mendoza Province
142,85-89,248,10-19,Torrontés,Other
143,85-89,371,30-39,Cabernet Blend,Mendoza Province
144,80-84,161,10-19,Malbec,Mendoza Province
145,80-84,241,20-29,Malbec,Mendoza Province
146,80-84,161,<10,Malbec,Mendoza Province
147,80-84,221,10-19,Chardonnay,Mendoza Province
148,80-84,216,10-19,Viognier,Mendoza Province
149,80-84,153,10-19,Torrontés,Mendoza Province
150,80-84,174,10-19,Cabernet Sauvignon,Other
151,80-84,140,10-19,Cabernet Sauvignon,Mendoza Province
152,80-84,190,20-29,Malbec,Mendoza Province
153,80-84,184,10-19,Cabernet Sauvignon-Malbec,Mendoza Province
154,85-89,232,10-19,Chardonnay,Mendoza Province
155,85-89,224,10-19,Sparkling Blend,Mendoza Province
156,85-89,273,10-19,Malbec-Syrah,Mendoza Province
157,85-89,248,10-19,Pinot Grigio,Mendoza Province
158,80-84,225,10-19,Viognier,Mendoza Province
159,80-84,183,10-19,Chardonnay,Mendoza Province
160,90-94,371,60-79,Cabernet Franc,Mendoza Province
161,85-89,260,20-29,Malbec-Syrah,Mendoza Province
162,85-89,186,10-19,Malbec-Syrah,Mendoza Province
163,85-89,250,30-39,Malbec-Cabernet Sauvignon,Other
164,85-89,218,10-19,Rosé,Mendoza Province
165,80-84,217,10-19,Pinot Noir,Mendoza Province
166,80-84,207,10-19,Cabernet Sauvignon,Other
167,80-84,232,10-19,Cabernet Sauvignon,Other
168,80-84,182,10-19,Bonarda,Other
169,80-84,253,10-19,Bonarda,Mendoza Province
170,85-89,291,50-59,Malbec,Mendoza Province
171,90-94,253,20-29,Malbec,Other
172,90-94,294,20-29,Malbec,Mendoza Province
