,points_range,deslen,price_range,variety,province
125,85-89,223,20-29,Riesling,Ontario
126,90-94,233,20-29,Merlot,British Columbia
127,90-94,194,20-29,Riesling,Ontario
128,90-94,439,60-79,Bordeaux-style Red Blend,British Columbia
129,85-89,267,20-29,Riesling,British Columbia
130,90-94,226,80-99,Riesling,Ontario
131,90-94,328,30-39,Red Blend,British Columbia
132,85-89,399,20-29,White Blend,British Columbia
133,90-94,308,40-49,Meritage,British Columbia
134,85-89,258,40-49,Chardonnay,British Columbia
135,85-89,274,30-39,Pinot Noir,British Columbia
136,85-89,198,50-59,Riesling,Ontario
137,80-84,163,50-59,Merlot,Ontario
138,90-94,232,20-29,Gewürztraminer,British Columbia
139,90-94,200,30-39,Cabernet Franc,British Columbia
140,90-94,241,20-29,Riesling,British Columbia
141,85-89,247,40-49,Pinot Noir,British Columbia
142,90-94,142,30-39,Riesling,Ontario
143,90-94,195,40-49,Pinot Noir,British Columbia
144,85-89,171,40-49,Vidal Blanc,Ontario
145,90-94,376,30-39,Merlot,British Columbia
146,90-94,229,30-39,Syrah,British Columbia
147,85-89,230,30-39,Cabernet Franc,British Columbia
148,90-94,335,20-29,Gewürztraminer,British Columbia
149,85-89,181,80-99,Cabernet Franc,Ontario
150,90-94,247,20-29,Rhône-style White Blend,British Columbia
151,90-94,189,50-59,Chardonnay,British Columbia
152,90-94,264,50-59,Vidal,British Columbia
153,85-89,282,30-39,Pinot Noir,British Columbia
154,85-89,304,20-29,White Blend,British Columbia
155,90-94,304,30-39,Red Blend,British Columbia
156,85-89,198,40-49,Pinot Noir,British Columbia
157,85-89,217,10-19,Chardonnay,British Columbia
158,90-94,331,30-39,Rhône-style White Blend,British Columbia
159,90-94,312,80-99,Syrah,British Columbia
160,85-89,165,50-59,Riesling,Ontario
161,85-89,211,40-49,Vidal,Ontario
